Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Sol-M3,208,475,0.4464,-0.0753
Starr,85,986,0.8883,0.0386
Starr,88,124,0.1117,0.0386
st_stephen,254,7,0.0068,-0.0059
st_stephen,257,992,0.9688,0.0332
st_stephen,260,25,0.0244,0.0580
Sun_King,150,765,0.9173,0.0374
Sun_King,156,69,0.0827,0.0374
sunrise,79,655,0.5859,0.0240
sunrise,82,37,0.0331,-0.0333
sunrise,85,426,0.3810,0.0528
Sway,82,526,0.4962,-0.0104
Sway,86,287,0.2708,0.0406
Sway,90,247,0.2330,-0.0178
Taxman,188,397,0.3710,0.0598
Taxman,191,510,0.4766,0.0268
Taxman,194,161,0.1505,0.0724
Taxman,198,2,0.0019,-0.0009
Tombstone_blues,242,784,0.7495,0.0436
Tombstone_blues,245,262,0.2505,0.0436
Trouble,247,489,0.5269,0.0284
Trouble,249,439,0.4731,0.0284
Tweedy,222,4,0.0042,0.4987
Tweedy,227,380,0.4000,0.1063
Tweedy,231,566,0.5958,0.1094
Walrus,165,232,0.2222,-0.0631
Walrus,168,791,0.7577,-0.0372
Walrus,171,21,0.0201,-0.0196
Weight,310,894,0.8834,0.0800
Weight,312,118,0.1166,0.0800
Wigwam,240,129,0.1667,0.0618
Wigwam,243,645,0.8333,0.0618
Workingman_Blues,254,166,0.1596,0.0547
Workingman_Blues,256,558,0.5365,0.2276
Workingman_Blues,257,316,0.3038,0.2736
Yellow_submarine,273,795,0.7444,0.0709
Yellow_submarine,276,273,0.2556,0.0709
