Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Maggie_mae,81,899,0.9026,0.0302
Maggie_mae,84,4,0.0040,-0.0030
Maggie_mae,88,93,0.0934,0.0403
Majesty,91,306,0.3276,0.0387
Majesty,94,628,0.6724,0.0387
Miles_teg,331,266,0.3317,0.2024
Miles_teg,333,536,0.6683,0.2024
Million_miles,376,233,0.2654,0.0021
Million_miles,378,552,0.6287,-0.0040
Million_miles,380,93,0.1059,0.0029
Monkey,107,76,0.0735,-0.0500
Monkey,109,909,0.8791,0.0273
Monkey,118,49,0.0474,0.0369
Mozambique,246,562,0.6162,0.0460
Mozambique,248,260,0.2851,0.0650
Mozambique,254,90,0.0987,0.0149
Neil_Young,145,92,0.0880,0.0475
Neil_Young,148,488,0.4665,0.0944
Neil_Young,151,466,0.4455,0.0799
Nettie_Moore,258,52,0.0549,0.0244
Nettie_Moore,260,114,0.1203,0.1236
Nettie_Moore,261,193,0.2036,0.0577
Nettie_Moore,264,419,0.4420,0.0387
Nettie_Moore,270,170,0.1793,-0.0024
Pam,82,194,0.1834,0.0289
Pam,85,111,0.1049,-0.0357
Pam,88,649,0.6134,-0.0234
Pam,91,104,0.0983,-0.0228
Percy,244,303,0.3845,-0.0658
Percy,246,485,0.6155,-0.0658
Pgm1,101,875,0.8495,0.0820
Pgm1,103,155,0.1505,0.0820
Piggies,160,566,0.5671,0.0786
Piggies,163,432,0.4329,0.0786
Psylocke,325,46,0.0511,0.0389
Psylocke,327,336,0.3733,0.1177
Psylocke,329,339,0.3767,0.0783
Psylocke,331,179,0.1989,0.0597
Queen_jane,255,553,0.5785,0.2932
Queen_jane,257,403,0.4215,0.2932
Ramble,246,117,0.1199,-0.0186
Ramble,248,859,0.8801,-0.0186
red_ant,79,2,0.0019,-0.0009
red_ant,90,2,0.0019,-0.0009
red_ant,92,243,0.2288,-0.0076
red_ant,95,814,0.7665,0.0014
red_ant,98,1,0.0009,0.0000
Sam_Stonev2,159,291,0.4134,0.0115
Sam_Stonev2,163,164,0.2330,0.0634
Sam_Stonev2,167,249,0.3537,0.0383
Seastones,84,850,0.8221,0.0225
Seastones,91,184,0.1779,0.0225
Sinv-25,155,1,0.0010,0.0000
Sinv-25,157,183,0.1750,-0.0389
Sinv-25,161,862,0.8241,-0.0410
Sinv12,120,1031,0.9763,0.2225
Sinv12,121,4,0.0038,1.0000
Sinv12,122,2,0.0019,1.0000
Sinv12,126,18,0.0170,-0.0164
Sinv12,132,1,0.0009,-0.0000
Siona,311,648,0.6792,0.0388
Siona,313,306,0.3208,0.0388
Sol-11,141,363,0.3538,-0.0094
Sol-11,143,84,0.0819,-0.0104
Sol-11,145,126,0.1228,-0.0305
