"","i","j","pearson_corr","spearman_corr","pearson_p","pearson_p_adjusted","spearman_p","spearman_p_adjusted"
"30","QnSinV1","QnSurvCL",0.112366643743874,0.112366643743874,0.361603505309027,0.78579223269077,0.361603505309027,0.864301262193262
"31","QnSinV2","QnSurvCL",-0.0654653670707977,-0.0654653670707977,0.595833094057093,0.87440441075911,0.595833094057093,0.944703697798355
"32","QnSinV3","QnSurvCL",0.078860037234564,0.078860037234564,0.52266888435789,0.87440441075911,0.52266888435789,0.943953958998075
"33","QnSize","QnSurvCL",-0.125066919229175,-0.090767409584027,0.341030759718616,0.7586193000486,0.490372136411835,0.943953958998075
"34","QnWt","QnSurvCL",-0.139851965084859,-0.149001075800977,0.255342534926311,0.655766055606208,0.225245414667837,0.802083854805577
"35","QnWtLsCL","QnSurvCL",NA,NA,NA,NA,NA,NA
"36","ClaustPer","QnSurvCL",NA,NA,NA,NA,NA,NA
"37","ID","ColWtCL",-0.144374294966355,-0.0952463952430598,0.332938045283761,0.7586193000486,0.524226694557272,0.943953958998075
"38","QnSinV1","ColWtCL",-0.394906872069958,-0.186657510523994,0.00601288654752627,0.0452970786580313,0.209015678454513,0.802083854805577
"39","QnSinV2","ColWtCL",-0.298102329189559,-0.147705393069969,0.0418322348560466,0.236352126936664,0.32178424829923,0.833551029240528
"40","QnSinV3","ColWtCL",-0.556218477472076,-0.250209849958074,4.91908934683402e-05,0.00050532463290204,0.0898363922691012,0.503356332171726
"41","QnSize","ColWtCL",-0.00119535442923738,0.0553145136996867,0.994005557977215,0.99960648108617,0.727894867892832,0.960575605188661
"42","QnWt","ColWtCL",0.345934233342082,0.587083699276486,0.0172283607845518,0.108155820480797,1.44040937380382e-05,0.000162766259239832
"43","QnWtLsCL","ColWtCL",-0.547746145440231,-0.472181400475922,6.74891475996541e-05,0.000635522806563409,0.000805372741929856,0.00700054767985182
"44","ClaustPer","ColWtCL",-0.470307791899668,-0.524122657552773,0.000973252555387756,0.0078555384827726,0.00018512180452412,0.00190170581011141
"45","QnSurvCL","ColWtCL",NA,NA,NA,NA,NA,NA
"46","ID","ColWtCL_6",-0.450877822402252,-0.318681318681319,0.105647182925503,0.426361845377925,0.266538195204492,0.833551029240528
"47","QnSinV1","ColWtCL_6",NA,NA,NA,NA,NA,NA
"48","QnSinV2","ColWtCL_6",NA,NA,NA,NA,NA,NA
"49","QnSinV3","ColWtCL_6",NA,NA,NA,NA,NA,NA
"50","QnSize","ColWtCL_6",0.312285504409983,0.251748251748252,0.323043391987705,0.7586193000486,0.430115288763099,0.943953958998075
"51","QnWt","ColWtCL_6",0.0304962362535551,-0.0308370792105334,0.917573554660855,0.99960648108617,0.916655212625141,0.960575605188661
"52","QnWtLsCL","ColWtCL_6",0.224277108804056,0.0505494505494506,0.44080845530717,0.816579597536232,0.867596308123435,0.960575605188661
"53","ClaustPer","ColWtCL_6",-0.233887563400685,-0.132619119618264,0.420939627465397,0.804374619259406,0.651300072967555,0.944703697798355
"54","QnSurvCL","ColWtCL_6",NA,NA,NA,NA,NA,NA
"55","ColWtCL","ColWtCL_6",0.0434476579262631,0.0373626373626374,0.882755028743282,0.99960648108617,0.903515165297325,0.960575605188661
"56","ID","ColGrowthCL_6",-0.586305439296943,-0.454945054945055,0.0275512880593993,0.163857660563796,0.104380288916604,0.503356332171726
"57","QnSinV1","ColGrowthCL_6",NA,NA,NA,NA,NA,NA
"58","QnSinV2","ColGrowthCL_6",NA,NA,NA,NA,NA,NA
"59","QnSinV3","ColGrowthCL_6",NA,NA,NA,NA,NA,NA
"60","QnSize","ColGrowthCL_6",0.173425474615658,0.0699300699300699,0.589869102571477,0.87440441075911,0.834447145237479,0.960575605188661
"61","QnWt","ColGrowthCL_6",-0.214856016043897,-0.264317821804572,0.460728549938746,0.839714937791586,0.36115241936401,0.864301262193262
"62","QnWtLsCL","ColGrowthCL_6",0.363311448616227,0.305494505494505,0.201664152092158,0.604167851418987,0.287738239069734,0.833551029240528
"63","ClaustPer","ColGrowthCL_6",-0.0597864652531827,-0.165192236717487,0.83911620860678,0.99960648108617,0.572504426875308,0.943953958998075
"64","QnSurvCL","ColGrowthCL_6",NA,NA,NA,NA,NA,NA
"65","ColWtCL","ColGrowthCL_6",-0.330810313118709,-0.345054945054945,0.247978131814004,0.65442114015339,0.227138790741402,0.802083854805577
"66","ColWtCL_6","ColGrowthCL_6",0.924873512090789,0.885714285714286,2.20437733311485e-06,2.76771820713309e-05,0,0
"67","ID","QnSurvCL_6",0.13812473464145,0.123717914826348,0.623490439249198,0.894195634294501,0.660456567487346,0.944703697798355
"68","QnSinV1","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"69","QnSinV2","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"70","QnSinV3","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"71","QnSize","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"72","QnWt","QnSurvCL_6",0.505889427839951,0.433788016213856,0.0543563330201708,0.290871234376355,0.106210773517727,0.503356332171726
"73","QnWtLsCL","QnSurvCL_6",0.0565484568677386,0.123717914826348,0.841347711928682,0.99960648108617,0.660456567487346,0.944703697798355
"74","ClaustPer","QnSurvCL_6",-0.866619997334599,-0.453298413911625,2.91455442349874e-05,0.000329344649855357,0.0897031503414801,0.503356332171726
"75","QnSurvCL","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"76","ColWtCL","QnSurvCL_6",0.404479176223186,0.433012701892219,0.134806719524163,0.462913806167212,0.106907539576296,0.503356332171726
"77","ColWtCL_6","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"78","ColGrowthCL_6","QnSurvCL_6",NA,NA,NA,NA,NA,NA
"79","ID","IR",-0.0288687042186168,-0.0525510204081633,0.843901791504671,0.99960648108617,0.71915623257978,0.960575605188661
"80","QnSinV1","IR",-0.0847762217847828,-0.0656392461740525,0.562482483447398,0.87440441075911,0.65408315799541,0.944703697798355
"81","QnSinV2","IR",0.00570088326027589,0.0238365647311398,0.96898902754492,0.99960648108617,0.870855800393946,0.960575605188661
"82","QnSinV3","IR",0.0397040335838639,0.0918558653543692,0.786498539204543,0.99960648108617,0.530186502177392,0.943953958998075
"83","QnSize","IR",0.241162393650872,0.258350951374207,0.114792261448182,0.432384184788153,0.0905116167016795,0.503356332171726
"84","QnWt","IR",-0.0715534156251611,-0.0320702821629257,0.625145620435978,0.894195634294501,0.826842576104139,0.960575605188661
"85","QnWtLsCL","IR",0.00392877788763585,-0.0300802139037433,0.982688120610538,0.99960648108617,0.867985405893728,0.960575605188661
"86","ClaustPer","IR",0.145426402466753,0.140360119357702,0.427101567748357,0.804374619259406,0.443550350135368,0.943953958998075
